source,target,tweet_text,tweet_date
@Leomagnoleo,@DelacaoSemSigilo,"#DelacaoSemSigilo da mesma forma que disseram que Lula era dono do triplex, que a lei Rouanet era para Petista, mostrará a verdade.",2017-01-30T23:46:58.000Z
@blogdopaolo,,E a CPI da Lei Rouanet?,2017-01-30T22:27:40.000Z
@MartaFael,@lobaoeletrico,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/yrHsQ by #lobaoeletrico via 
@c0nvey",2017-01-30T20:09:59.000Z
@MartaFael,@NuSQdGrS43,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/yrHsQ by #lobaoeletrico via 
@c0nvey",2017-01-30T20:09:59.000Z
@MartaFael,@c0nvey,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/yrHsQ by #lobaoeletrico via 
@c0nvey",2017-01-30T20:09:59.000Z
@MViniciusSouza1,@jeyleonardo,"@jeyleonardo
 Oie! Hein, quando eu te segui, foi porque conversamos sobre a captação de recurso das escolas de samba via L. Rouanet. Lembra?",2017-01-30T18:51:55.000Z
@joalmagalhaes,@lobaoeletrico,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/m3aoX by #lobaoeletrico via 
@c0nvey",2017-01-30T18:18:57.000Z
@joalmagalhaes,@c0nvey,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/m3aoX by #lobaoeletrico via 
@c0nvey",2017-01-30T18:18:57.000Z
@joalmagalhaes,@iDbNhhypOk,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/m3aoX by #lobaoeletrico via 
@c0nvey",2017-01-30T18:18:57.000Z
@jonasmatias_,@lobaoeletrico,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/8fKJg by #lobaoeletrico via 
@c0nvey",2017-01-30T18:05:35.000Z
@jonasmatias_,@SGOuKRGO8p,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/8fKJg by #lobaoeletrico via 
@c0nvey",2017-01-30T18:05:35.000Z
@jonasmatias_,@c0nvey,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/8fKJg by #lobaoeletrico via 
@c0nvey",2017-01-30T18:05:35.000Z
@hlascalla,,Lei Rouanet não é para Cultura e sim para alguns artistas,2017-01-30T17:53:45.000Z
@dinho11101972,@lobaoeletrico,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/alQv4 by #lobaoeletrico via 
@c0nvey",2017-01-30T17:53:44.000Z
@dinho11101972,@c0nvey,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/alQv4 by #lobaoeletrico via 
@c0nvey",2017-01-30T17:53:44.000Z
@dinho11101972,@zH679Jl1p1,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/alQv4 by #lobaoeletrico via 
@c0nvey",2017-01-30T17:53:44.000Z
@SanfoneiroZ,,Quer dizer q a Lei Rouanet é só para artistas q lutaram contra a ditadura? Claudia Leite pegou num canhão? Muito burro esse Caetano. https://x.com/fussballsehr/status/824770140839501824…,2017-01-30T17:16:00.000Z
@giovanisantana,,E reserva aquela Rouanet pra ontem,2017-03-02T16:10:23.000Z
@Masini1966,@MARCUSPITTER,"@MARCUSPITTER
 simples, porque lá na ilha latrina, não tem Lei Rouanet",2017-03-02T16:06:55.000Z
@FernandoCesar77,@CLAURANZ,"Beth Carvalho sempre foi de esquerda, ela apoiava até o Hugo Chavez explicitamente. Não tem nada a ver com Rouanet 
@CLAURANZ",2017-03-02T16:04:27.000Z
@ETFCS,@zehdeabreu,Quem pediu foi o Temer.... e quem pôs o Temer lá? 5.000 via lei rouanet de vc acertar!,2017-03-02T14:20:55.000Z
@APSNetinho,@PauloRo49195361,vai ver é só falta da lei rouanet,2017-03-02T14:17:19.000Z
@APSNetinho,@HumbertoReisJr,vai ver é só falta da lei rouanet,2017-03-02T14:17:19.000Z
@NinaLCastro,,O nome é Lei Rouanet,2017-03-02T13:55:48.000Z
@EGUIONESSMA,@ptbrasil,Intelectual Rouanet !!,2017-03-02T13:36:05.000Z
@alvarobeato,,"Intelectuais petistas, em estado de síndrome de abstinência de lei Rouanet, assinam patético manifesto de volta Lula.",2017-03-02T13:35:39.000Z
@LuttiLippe,@LulaPrezidente,Marieta e família eram sustentados pela Rouanet e áudio visual !  #LulaPrezidente,2017-03-02T13:19:53.000Z
@ReisNil,@folha,"Que dó dos""zé-ninguém""aqui HAHAHAHA Sempre as mesmas merdas: Lei Rouanet, desemprego(causa da paralização do país), etc Ô povo+BURRO",2017-03-02T13:19:39.000Z
@PastorJecerGoes,@prosapolitica,"- Saudade da lei rouanet, isso sim. Vergonha",2017-03-02T13:17:17.000Z
@antonioacso,@JornaldoBrasil,"Ouví um velho ditado que diz:""me diz c quem andas que te direi quem és"" .Será q eles ñ sabem quem é o dito cujo?Rouanet????",2017-03-02T13:00:21.000Z
@rabellomonique,@congressoemfoco,aí meu rouanet !,2017-03-02T12:48:30.000Z
@rabellomonique,@congemfoco,aí meu rouanet !,2017-03-02T12:48:30.000Z
@eumariliadelima,@4WGRvowT0m,"CURSO LEI ROUANET - totalment online. O melhor e mais completo. Você realmente escreve e cadastra um projeto,... http://fb.me/7wQjNTASz",2017-03-02T12:14:17.000Z
@pirulitoadr9,,Toma vergonha nessa cara porra 2 corruptos tem que estar na cadeia os 2 a diferença e a mamatinha da Rouanet ta fazendo falta?,2017-03-02T12:05:00.000Z
@PedroFausto2,,"Segundo li no Facebook, Chico Buarque e mais 400 vagabundos, mamadores da Lei Rouanet, pedem que o cafajeste Lula se candidate.",2017-03-02T12:04:46.000Z
@CLAURANZ,@FernandoCesar77,Pesquise um pouco mais e terá argumentos de sobra. Só citei a rouanet porque no caso dessa sambista foi bem explícito.,2017-03-02T12:00:54.000Z
@energialudica,,"intelectuau caviar de butiquim. Rouanet addict. Bando d idiotas úteis. Ideologia, ídolo, idiotização..",2017-03-02T11:46:13.000Z
@JotaKar,@CACAIOPRADELLA,OLha só os artistas pró-impeachment é q se lambuzaram na Lei Rouanet http://ln.is/revistaforum.com.br/p0xKU…,2017-03-02T11:41:06.000Z
@JotaKar,@7QbpOMoYR2,OLha só os artistas pró-impeachment é q se lambuzaram na Lei Rouanet http://ln.is/revistaforum.com.br/p0xKU…,2017-03-02T11:41:06.000Z
@LouisvilleMTEN,,"On court , Rouanet defeats Dykema 6-3 in the second set! Cards lead 5-0!",2017-04-02T23:49:41.000Z
@LouisvilleMTEN,@GoCards,"On court , Rouanet defeats Dykema 6-1 in the first set! #GoCards",2017-04-02T23:15:35.000Z
@fecdias,@VazaTemer, #VazaTemer  Golpista vivandeira Porcina rainha da sucata mama na Lei Rouanet http://bit.ly/1WSCGmN,2017-05-03T23:01:37.000Z
@fecdias,@8QR9q30RzT, #VazaTemer  Golpista vivandeira Porcina rainha da sucata mama na Lei Rouanet http://bit.ly/1WSCGmN,2017-05-03T23:01:37.000Z
@gabsborsa,,"Pai: Ah, mas que faculdade você quer fazer msm?
Eu: Artes dps cinema
Pai: Ah puta quil pariu , vai viver de Lei Rouanet , vai ser vagabundo",2017-05-03T22:55:57.000Z
@fatimamerighi,@HbXjF2VjKH,"Cantor Caetano Veloso, petista doente se complica na Lei Rouanet | Jornal do Pais http://fb.me/237u5KwRD",2017-06-03T23:51:33.000Z
@lcrive,@FNFTe9nIrw,"BOMBA: PF pode prender todos artistas que receberam dinheiro da Lei Rouanet. VEJA AQUI http://jornaldopais.com.br/bomba-pf-pode-prender-todos-artistas-que-receberam-dinheiro-da-lei-rouanet-veja-aqui/… via 
@Jornal
 do Pais",2017-06-03T23:19:08.000Z
@lcrive,@Jornal,"BOMBA: PF pode prender todos artistas que receberam dinheiro da Lei Rouanet. VEJA AQUI http://jornaldopais.com.br/bomba-pf-pode-prender-todos-artistas-que-receberam-dinheiro-da-lei-rouanet-veja-aqui/… via 
@Jornal
 do Pais",2017-06-03T23:19:08.000Z
@GabyMoreiraMor1,@AcoLyonel,"Companheiros  de longa  data...
Tá  explicado...agora Chico é  mais uma viúva  da lei Rouanet",2017-07-04T23:50:41.000Z
@Nrsartes,,"Os cara produzem 1 filme,não pedem PORRA nenhuma a lei rouanet ,e fazem sucesso .Isso é só pra sentir como nós trabalhadores somos roubados https://x.com/jaacarmo/status/882066074803486721…",2017-07-04T23:26:08.000Z
@ppedroalves,,"Com a aprovação do espetáculo Eu Matei Sherazade, cheguei ao 50º projeto aprovado na Lei Rouanet! Show!! Muito trabalho e dedicação.",2017-07-04T23:01:30.000Z
@joaofunchal7,@folha,"70% dos projetos da Rouanet são de pequeno porte, diz pesquisa que analisa os 25 anos da lei http://dramaticas.blogfolha.uol.com.br/2016/07/01/70-dos-projetos-da-rouanet-sao-de-pequeno-porte-diz-pesquisa-que-analisa-os-25-anos-da-lei/?cmpid=comptw… #folha",2017-08-04T23:56:42.000Z
@joaofunchal7,@GhcIEumL4p,"70% dos projetos da Rouanet são de pequeno porte, diz pesquisa que analisa os 25 anos da lei http://dramaticas.blogfolha.uol.com.br/2016/07/01/70-dos-projetos-da-rouanet-sao-de-pequeno-porte-diz-pesquisa-que-analisa-os-25-anos-da-lei/?cmpid=comptw… #folha",2017-08-04T23:56:42.000Z
@luizloes,@l3stPj9hxC,"""Trono do estudar"" versão sem lei Rouanet http://fb.me/5yEJd0jHg",2017-08-04T23:50:49.000Z
@CeliaNacarato,@donincrenca,"Eles ficariam ""bem na fita"" se estivessem segurando uma plaquinha: QUEREMOS NOSSA ROUANET DE VOLTA! #AcabouABoquinha",2017-08-04T23:23:50.000Z
@CeliaNacarato,@AcabouABoquinha,"Eles ficariam ""bem na fita"" se estivessem segurando uma plaquinha: QUEREMOS NOSSA ROUANET DE VOLTA! #AcabouABoquinha",2017-08-04T23:23:50.000Z
@CeliaNacarato,@roxmo,"Eles ficariam ""bem na fita"" se estivessem segurando uma plaquinha: QUEREMOS NOSSA ROUANET DE VOLTA! #AcabouABoquinha",2017-08-04T23:23:50.000Z
@Cibezane,,Estranho p/mim é artistas ricos que usam e abusam da Lei Rouanet só porque não tem caráter e são amigos dos PT (Lula&Dilma) corruptos natos,2017-09-04T22:30:04.000Z
@gabrielgodluck,@DilmaResiste,Várias peças teatrais apresentadas por globais também não aparecia a verdade da lei Rouanet. Como fica? Tem dedo do PT?,2017-09-04T22:27:23.000Z
@gabrielgodluck,@Nanynha66,Várias peças teatrais apresentadas por globais também não aparecia a verdade da lei Rouanet. Como fica? Tem dedo do PT?,2017-09-04T22:27:23.000Z
@AeroAlisson,@GugaNoblat,"como fim da lei rouanet e do PT dando dinheiro pra artista falar bem deles,essa gente precisa fazer esse tipo de coisa pra poder aparecer",2017-09-04T21:16:48.000Z
@AeroAlisson,@jairbolsonaro,"como fim da lei rouanet e do PT dando dinheiro pra artista falar bem deles,essa gente precisa fazer esse tipo de coisa pra poder aparecer",2017-09-04T21:16:48.000Z
@AeroAlisson,@1fernandoreal,"como fim da lei rouanet e do PT dando dinheiro pra artista falar bem deles,essa gente precisa fazer esse tipo de coisa pra poder aparecer",2017-09-04T21:16:48.000Z
@GrandisoliPaulo,@jairbolsonaro,"Mas 
@jairbolsonaro
 é uma ameaça! Ameaça aos bandidos, aos ESQUERDOPATAS, aos artistas mamadores nas tetas da Rouanet, aos corruptos... https://x.com/TtheCrow_/status/916088695350026240…",2017-10-05T23:57:34.000Z
@ringoulart,@JornalOGlobo,"eu queria entender essa forma de categorizar ""religiosos"" o povo brasileiro quer respeito nas suas crenças e que acabe Lei Rouanet.",2017-10-05T23:41:12.000Z
@Sorgitzak,@hoGbvq9SfY,MinC diz que mudanças na Lei Rouanet ainda estão em discussão http://bit.ly/2y36Zk4,2017-10-05T23:40:31.000Z
@CaiapoSwagger,@ottoni3101,Os mesmos que mamam na lei Rouanet!,2017-11-05T23:29:51.000Z
@bozibrasil,@lindberghfarias,"Faz me rir, procure vaga no  tem grande chance, talvez protagonize uma “daquelas” peças financiadas pela rouanet!",2017-11-05T23:10:07.000Z
@arianapitthan,,Enquanto muitos artistas br que só mamam na teta da rouanet,2017-11-05T21:30:02.000Z
@pablinecorreia,@becakjj,"Rouanet financia eu e 
@becakjj
 HAHAHAHAHA #mentira https://x.com/becakjj/status/938545676262264832…",2017-12-06T23:12:21.000Z
@pablinecorreia,@mentira,"Rouanet financia eu e 
@becakjj
 HAHAHAHAHA #mentira https://x.com/becakjj/status/938545676262264832…",2017-12-06T23:12:21.000Z
@CostaFilhoAdv,@FernandoHoliday,É ainda continua recebendo incentivo da Rouanet?,2017-12-06T22:43:52.000Z
@CarantoRbp,@laurojardim,As manifestações circenses merecem mais o apoio da Lei Rouanet do que a exposição do homem nu no museu.,2017-12-06T22:43:38.000Z
@macoantonio,@ptbrasil,Mais um de olho na lei Rouanet. A casa vai cair e a moleza vai acabar!!!,2018-01-06T23:48:20.000Z
@GersonF11704448,,Alexandre frota detesta os artistas que conseguem projetos via lei Rouanet.  Se considera ator mais nem em filme pornô conseguiu destaque. Cara rancoroso e invejoso. Nada do que tenta dá certo. Aí agora entrou nessa de direita reacionária tentando ver se consegue algo. Escroto https://x.com/alefrotabrasil/status/949577127808196608…,2018-01-06T23:45:29.000Z
@leiantigabriel,,"A Banda Distopia receberá R$ 15.000.000,00 pela Lei Rouanet em 2018, liberação foi homologada hoje no DOU (Diário Oficial da União); triste, pois o hospital do Câncer foi fechado por 1,7 milhões e 500 crianças ficaram sem tratamento aguardando a morte. Parabéns Brasil!",2018-01-06T23:19:00.000Z
@d0yama87,,"Sem contar que tem escola de samba do RJ que ainda vai captar mais verba via Lei Rouanet.

Tamo bem demais",2018-02-06T22:30:55.000Z
@Politologue_com,@MLAVDE,"Rouanet William #MLAVDE N°398/619 dans le classement du 05/02/2018: 
@williamrouanet
 a perdu -113 places http://dlvr.it/QFJQ3Z",2018-02-06T21:55:15.000Z
@Politologue_com,@0JI1NBdHuM,"Rouanet William #MLAVDE N°398/619 dans le classement du 05/02/2018: 
@williamrouanet
 a perdu -113 places http://dlvr.it/QFJQ3Z",2018-02-06T21:55:15.000Z
@DisseNerdice,@ConTVReal,"Aqui Contente sobre o vídeo do Nando, sua identidade já havia sido revelada antes, e você mesmo já havia citado em um podcast que já se cadastrou na lei Rouanet antes na sua época de mídia, porém você tem culhões para se redimir e mostrar seus erros! Tmj e um abraço :)",2018-02-06T21:18:12.000Z
@mfdguerra,@njgYdb5qLU,Lei Rouanet : Polícia Federal divulga a lista negra dos shows que desviaram recursos http://ln.is/com.br/AZutf,2017-01-19T11:30:46.000Z
@ManuelValls68,@Trianon,"RT Le18eAvecMValls:  Rues #Belliard et #Rouanet, n'oubliez pas demain manuelvalls sera au #Trianon à 19h30 … https://x.com/i/web/status/822030313266221056…",2017-01-19T10:57:39.000Z
@ManuelValls68,@Belliard,"RT Le18eAvecMValls:  Rues #Belliard et #Rouanet, n'oubliez pas demain manuelvalls sera au #Trianon à 19h30 … https://x.com/i/web/status/822030313266221056…",2017-01-19T10:57:39.000Z
@CestasdecafeJPA,@8IXYaeN1GQ,Lei Rouanet : Polícia Federal divulga a lista negra dos shows que desviaram recursos - Noticias Brasil Online http://fb.me/1Jywf1C85,2017-01-19T10:52:28.000Z
@RafaVelotrol,,"Será que esses deputados receberam mortadela, Rouanet e mensalão!?",2017-01-19T08:41:27.000Z
@FernandoCesar77,,"Reductio Rouanet mais uma vez, é, a explicação é essa https://x.com/cc_alcantara/status/836995064823963648…",2017-03-01T22:02:25.000Z
@DottaRodolfo,@folha,deve ter levantado uma grana brava através da Lei Rouanet,2017-03-01T22:01:49.000Z
@FernandoCesar77,,Reductio Rouanet ataca novamente https://x.com/flsluque/status/837000221221605377…,2017-03-01T21:58:51.000Z
@FernandoCesar77,,Reductio Rouanet é um fenómeno que merece estudo,2017-03-01T21:58:08.000Z
@FernandoCesar77,,"Claro, não tenho dúvida disso. Recebia Rouanet com Lula e Temer cortou aquela mamata https://x.com/belardony/status/837004949267574784…",2017-03-01T21:57:20.000Z
@FernandoCesar77,,Beth Carvalho só apoia o Lula porque mama na lei Rouanet,2017-03-01T21:55:42.000Z
@lLivreExpressao,@5mdmdMuEf4,"""Intelectuais""...
A Rouanet tá fazendo falta, né?  http://fb.me/1HuSWY3C4",2017-03-01T21:49:24.000Z
@kaicara_347,@Wo7i8xF3ya,"""Pela volta da Lei Rouanet""???
 http://fb.me/1fqV7RdAD",2017-03-01T21:42:07.000Z
@redealfenas,@roxmo,", seria o 'bloco dos desesperados' ou 'viúvos unidos da lei Rouanet', ñ se conformam q o 'carnaval' já acabou.",2017-03-01T21:22:11.000Z
@redealfenas,@UOL,", seria o 'bloco dos desesperados' ou 'viúvos unidos da lei Rouanet', ñ se conformam q o 'carnaval' já acabou.",2017-03-01T21:22:11.000Z
@paulocesarenf,@edmilsonpapo10,são tão intelectuais que não sobrevivem sem bolsa Rouanet!,2017-03-01T21:20:20.000Z
@jomsfeitosa,,Sobras da Rouanet?,2017-03-01T21:19:46.000Z
@RolexCubano,,Definição de Intelectuais mudou muito... 400 bunda sujas da lei Rouanet e cabos eleitorais do PT se tornaram intelectuais agora!?!?,2017-03-01T20:57:24.000Z
@RolandDavi,@QuartaDetremuraSDV,"Entre um ""bom filme"" do  , porém financiado pela Lei Rouanet e um péssimo filme dos , eu fico com a segunda opção. #QuartaDetremuraSDV",2017-03-01T20:53:45.000Z
@RolandDavi,@QuartaDetremuraSDV,"Entre um ""bom filme"" do  , porém financiado pela Lei Rouanet é um péssimo filme dos , eu fico com a segunda opção. #QuartaDetremuraSDV",2017-03-01T20:52:41.000Z
@EduCardosoAdv,@folha,mais uma órfã da Rouanet que ajudou Lula a esvaziar os cofres do Brasil.  Esses artistas mamões tem q ter vergonha na cara.,2017-03-01T20:03:34.000Z
@v_rebeque,@PCIT9sgM8Z,"Lei Rouanet - O blog 600.000 de Bethânia - Anna de Holanda, Tenta Explicar rt VERGONHA ... anos atrás e???? https://youtube.com/watch?v=edI8L5dtc9E&feature=share…",2017-03-01T19:33:42.000Z
@v_rebeque,@rbZuj9yKSe,"Gagueira na CPI da Lei Rouanet rt ""Aos pseudo-artistas""!!! https://youtube.com/watch?v=2GTAucyAiDc&feature=share…",2017-03-01T19:32:34.000Z
@brito_everardo,@Nominuto,"""Rouanet"" - Brazillllllll",2017-03-01T19:28:14.000Z
@RolexCubano,,Ou seja somente Cu Sujo Socialista e gente querendo a volta da Teta Rouanet. Pessoal da Lacração!!!,2017-03-01T19:03:22.000Z
@fecdias,@8QR9q30RzT, #VazaTemer  Golpista vivandeira Porcina rainha da sucata mama na Lei Rouanet http://bit.ly/1WSCGmN,2017-03-01T19:01:28.000Z
@fecdias,@VazaTemer, #VazaTemer  Golpista vivandeira Porcina rainha da sucata mama na Lei Rouanet http://bit.ly/1WSCGmN,2017-03-01T19:01:28.000Z
@JairRamos33,,A grana que entrva não tinha fiscalização. Dale rouanet.,2017-03-01T18:44:32.000Z
@OMNamasthe,,"Vou pleitear uns reais da Lei Rouanet p/fazer um filme,contado a verdade sobre 1964. Muita ação:Assalto a banco,sequestro,bombas em quartéis https://x.com/BolsonaroSP/status/847944289476894720…",2017-04-01T23:45:17.000Z
@FranckRouanet,@archive,"Vidéo time-lapse HDR Erik Sviland http://bit.ly/jPDiwM #archive ""Un café, mon bloc note...""",2017-04-01T23:32:55.000Z
@FranckRouanet,@KNmKBgqT4u,"Vidéo time-lapse HDR Erik Sviland http://bit.ly/jPDiwM #archive ""Un café, mon bloc note...""",2017-04-01T23:32:55.000Z
@EltonAvsF1,@maathbz,"O cara fica puto porque questionamos a graninha da rouanet, mostrou a notícia comprovando e o que acontece? 
@_Ioen
 @maathbz
 @dianafigueredoo",2017-04-01T22:18:10.000Z
@EltonAvsF1,@dianafigueredoo,"O cara fica puto porque questionamos a graninha da rouanet, mostrou a notícia comprovando e o que acontece? 
@_Ioen
 @maathbz
 @dianafigueredoo",2017-04-01T22:18:10.000Z
@EltonAvsF1,@_Ioen,"O cara fica puto porque questionamos a graninha da rouanet, mostrou a notícia comprovando e o que acontece? 
@_Ioen
 @maathbz
 @dianafigueredoo",2017-04-01T22:18:10.000Z
