source,target,tweet_text,tweet_date
@Leomagnoleo,@DelacaoSemSigilo,"#DelacaoSemSigilo da mesma forma que disseram que Lula era dono do triplex, que a lei Rouanet era para Petista, mostrará a verdade.",2017-01-30T23:46:58.000Z
@MartaFael,@lobaoeletrico,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/yrHsQ by #lobaoeletrico via 
@c0nvey",2017-01-30T20:09:59.000Z
@MartaFael,@NuSQdGrS43,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/yrHsQ by #lobaoeletrico via 
@c0nvey",2017-01-30T20:09:59.000Z
@MartaFael,@c0nvey,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/yrHsQ by #lobaoeletrico via 
@c0nvey",2017-01-30T20:09:59.000Z
@MViniciusSouza1,@jeyleonardo,"@jeyleonardo
 Oie! Hein, quando eu te segui, foi porque conversamos sobre a captação de recurso das escolas de samba via L. Rouanet. Lembra?",2017-01-30T18:51:55.000Z
@joalmagalhaes,@lobaoeletrico,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/m3aoX by #lobaoeletrico via 
@c0nvey",2017-01-30T18:18:57.000Z
@joalmagalhaes,@c0nvey,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/m3aoX by #lobaoeletrico via 
@c0nvey",2017-01-30T18:18:57.000Z
@joalmagalhaes,@iDbNhhypOk,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/m3aoX by #lobaoeletrico via 
@c0nvey",2017-01-30T18:18:57.000Z
@jonasmatias_,@lobaoeletrico,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/8fKJg by #lobaoeletrico via 
@c0nvey",2017-01-30T18:05:35.000Z
@jonasmatias_,@SGOuKRGO8p,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/8fKJg by #lobaoeletrico via 
@c0nvey",2017-01-30T18:05:35.000Z
@jonasmatias_,@c0nvey,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/8fKJg by #lobaoeletrico via 
@c0nvey",2017-01-30T18:05:35.000Z
@dinho11101972,@lobaoeletrico,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/alQv4 by #lobaoeletrico via 
@c0nvey",2017-01-30T17:53:44.000Z
@dinho11101972,@c0nvey,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/alQv4 by #lobaoeletrico via 
@c0nvey",2017-01-30T17:53:44.000Z
@dinho11101972,@zH679Jl1p1,"Bom sinal: ministro reconhece que a Lei Rouanet servia às celebridades, não à... http://ln.is/alQv4 by #lobaoeletrico via 
@c0nvey",2017-01-30T17:53:44.000Z
@Masini1966,@MARCUSPITTER,"@MARCUSPITTER
 simples, porque lá na ilha latrina, não tem Lei Rouanet",2017-03-02T16:06:55.000Z
